word,synonyms
hvítkorn,['hvítt blóðkorn']
rauðkorn,['rautt blóðkorn']
blóðsermi,"['blóðvatn', 'sermi']"
belgbólga,['belgmein']
bótúlíneitrun,['sperðileitrun']
hjálmfura,['ítölsk steinfura']
hví,"['af hverju', 'hvers vegna']"
aðdáunarverður,['aðdáanlegur']
sársauki,['verkur']
keisaraviður,['hindartré']
loksins,"['á endanum', 'loks']"
turtildúfa,['fornt turturi']
tyrkjaþyrill,"['ísfugl', 'kóngsfiskari']"
blóðfruma,['blóðkorn']
snjóhvítur,"['mjallahvítur', 'mjallhvítur']"
mjallahvítur,"['fannhvítur', 'snjóhvítur']"
mjallhvítur,"['fannhvítur', 'snjóhvítur']"
gullfífill,['morgunfrú']
hróp,['óp']
fylgsn,['fylgsni']
væta,"['rigning', 'regn']"
víðir,"['pílviður', 'fornt píll']"
þar til,['uns']
tómatur,['sjaldgæft tómati']
dyggur,"['tryggur', 'trúr']"
salat,['grænsalat']
vafri,"['vefsjá', 'vefskoðari']"
vefskoðari,['vafri']
vefsjá,['vafri']
tölvuforrit,['forrit']
forrit,['tölvuforrit']
værðarvoð,['ullarteppi']
gómur,['fingurgómur']
fingurgómur,['gómur']
holdgómur,['gómtjald']
skyndihjálp,['hjálp í viðlögum']
sjálfvirk hjartarafstuðtæki,"['sjálfvirk hjartarafstuðstæki', 'hálfsjálfvirk hjartarafstuðstæki hálfsjálfvirk hjartarafstuðtæki', 'sjálfvirk rafstuðtæki sjálfvirk rafstuðstæki']"
sjálfvirk hjartarafstuðstæki,"['sjálfvirk hjartarafstuðtæki', 'hálfsjálfvirk hjartarafstuðstæki hálfsjálfvirk hjartarafstuðtæki']"
hálfsjálfvirk hjartarafstuðstæki,"['sjálfvirk hjartarafstuðstæki', 'sjálfvirk hjartarafstuðtæki', 'hálfsjálfvirk hjartarafstuðtæki']"
hálfsjálfvirk hjartarafstuðtæki,"['sjálfvirk hjartarafstuðstæki', 'hálfsjálfvirk hjartarafstuðstæki', 'sjálfvirk hjartarafstuðtæki']"
sláttarstöðvun,"['samdráttarleysi í hjarta', 'rafleysa']"
málbein,['tungubein']
pitsa,"['flatbaka', 'pizza', 'pítsa']"
