word,synonyms
جانب(ه),"['بَاعَدَه', 'أَبْعَدَه', 'ابْتَعَدَعَنْهُ']"
أصل,['تَأَصَّلَ']
لبس,"['تَكَسَّى', 'اِرْتَدَى']"
ترجيل,"['تَقْوِيَة', 'تَشْجِيع', 'تَسْرِيح']"
جاهد,"['قَاتَلَالعَدُوَّ', 'بَذَلَوُسْعَهُ']"
أوهى,['أَضْعَفَ']
طّمأنينة,"['أُنْس', 'بَهْجَة', 'أَلْفَة']"
أظلم,['دَجَنَ']
تلوّى,"['اِنْعَطَفَ', 'اِنْثَنَى']"
تلوّي,"['اِنْعِطَاف', 'تَثَنِي']"
إحياء,['إِعاشَة']
تطريب,"['تَرَنُّم', 'تَرجِّيعالصَوتِ']"
معظم(ه),['أَوْجَمُالشَيْء']
آذى(ه),"['بَرَّحَبِهِ', 'أَتْعَبَه']"
تحسّر(الشعر),['سَقَطَ']
تلوّث,['تَلَطُّخ']
استبعاد,['اِسْتِرْقَاق']
خمصان,"['خَالِي البَطْن', 'ضَامِر البطن']"
حجّة,"['بَيَان', 'مَنْطِقفَصِيح', 'بُعد']"
برضة,['أَرْض بُور']
لبق,"['بُزَاغمن الغِلمان', 'يَقِظ']"
تأزّي,"['نُكُوص', 'إِحْجَام', 'تَرَاجُع']"
تأزّم,"['تَعْقِيد', 'اِشْتِدَاد']"
تأزّل,['ضِيق']
رحلة,"['اِرْتِحَال', 'اِنْتِقَال']"
تكرّر,"['تَرَدُد', 'تَحَيُّر']"
تعفّف,['عِفّة']
ناحل,"['دَقِيق', 'رَقِيق', 'نَحِيف']"
ألمعية,['ذَكَاء']
تخزير,['تَضْيِيق']
تهزهز,['تَحَرَّكَ']
أذية,"['تَخَبُّط', 'ضَرْب', 'وَطْء']"
ترع,['اِمْتَلأَ']
لجأ-إليه-,"['أَوَىإِلَيْهِ', 'رَقَّلَهُ', 'رَحِمَه']"
استصعد,['اِسْتَعْلَى']
أنفذ(الأمر),"['قَضَى', 'أَتَمَّ']"
اختبال,['جُنون']
تحشّم(منه),['اِسْتَحْيَا']
أهرق-الماء-,"['صَبَّه', 'أَسَالَه']"
تجانس,"['تَشَابُه', 'تَآلُف']"
تشديد النظر,['تَحْدِيق']
أفطم,['فَطَمَ']
استيضاح,['اِسْتِبَان']
جحود,"['إِنْكَار', 'كُفْر']"
تمزّع,['تَفَرُّق']
صرف(ه),"['رَجَعَه', 'رَدَّه']"
مبالاة,"['اِكْتِرَاث', 'اِهْتِمَام']"
جفيف,"['جَافّ', 'يَابِس']"
استبعد,['اِسْتَرَقَّ']
مسجون,"['سَجِين', 'مَحْبُوس']"
بلّ-القماش-,['نَدِيَ']
رفع(ها)-عنه-,['بَرَّأَهمن التُهمَةِ']
تمزّق,"['تَشَقُق', 'تَقَطُّع', 'تَفَرُّق']"
استخف,['اِسْتَهَان']
خنوع,"['خُضُوع', 'ذُلّ']"
إملال,"['إِضْجَار', 'إِسْآم']"
إملاق,['اِفْتِقار']
مال(إليه),['اِلْتَحَجَإِلَيْه']
